dataAbscissa/Depth	Age	dataOrdinate/Value
113.3	24397.6	-1.139
113.35	24401.5	-1.578
113.4	24405.4	-1.177
113.45	24409.4	-1.687
113.5	24413.3	-1.623
113.55	24417.2	-1.481
113.6	24421.2	-1.518
113.61	24422	-1.486
113.65	24425.1	-1.378
113.7	24429	-1.526
113.75	24433	-1.314
113.8	24436.9	-1.319
113.85	24440.8	-1.602
113.9	24444.8	-1.328
113.95	24448.7	-1.329
114	24452.6	-1.37
114.05	24456.6	-1.251
114.1	24460.5	-1.4
114.12	24462.1	-1.524
114.15	24464.4	-1.385
114.2	24468.4	-1.453
114.25	24472.3	-1.495
114.3	24476.2	-1.398
114.35	24480.2	-1.262
114.4	24484.1	-1.289
114.45	24488	-1.359
114.5	24492	-1.463
114.55	24495.9	-1.17
114.6	24499.8	-1.574
114.62	24501.4	-1.31
114.65	24503.7	-1.554
114.7	24507.7	-1.278
114.75	24511.6	-1.428
114.8	24515.5	-1.322
114.85	24519.5	-1.408
114.9	24523.4	-1.431
114.95	24527.3	-1.374
115	24531.3	-1.366
115.05	24535.2	-1.591
115.1	24539.1	-1.57
115.15	24543.1	-1.461
115.2	24547	-1.398
115.25	24550.9	-1.494
115.3	24554.9	-1.085
115.35	24558.8	-1.514
115.4	24562.7	-1.279
115.45	24566.7	-1.161
115.5	24570.6	-1.175
115.55	24574.5	-1.248
115.6	24578.5	-1.36
115.65	24582.4	-1.468
115.7	24586.3	-1.379
115.75	24590.3	-1.358
115.8	24594.2	-1.606
115.85	24598.1	-1.565
115.9	24602.1	-1.671
115.95	24606	-1.75
115.96	24606.8	-1.88
116	24609.9	-1.502
116.04	24613.1	-1.507
116.05	24613.9	-1.579
116.09	24617	-1.358
116.14	24620.9	-1.368
116.19	24624.9	-1.293
116.24	24628.8	-1.472
116.29	24632.7	-1.372
116.34	24636.7	-1.525
116.39	24640.6	-1.505
116.44	24644.5	-1.536
116.49	24648.5	-1.432
116.54	24652.4	-1.401
116.59	24656.3	-1.322
116.64	24660.3	-1.45
116.69	24664.2	-1.261
116.74	24668.1	-1.36
116.79	24672.1	-1.286
116.84	24676	-1.288
116.89	24679.9	-1.415
116.94	24683.9	-1.516
116.99	24687.8	-1.355
117.04	24691.7	-1.467
117.09	24695.7	-1.226
117.14	24699.6	-1.86
117.19	24703.5	-1.529
117.24	24707.5	-1.442
117.29	24711.4	-1.298
117.34	24715.3	-1.671
117.39	24719.3	-1.649
117.44	24723.2	-1.573
117.49	24727.1	-1.802
117.51	24728.7	-1.863
117.54	24731.1	-1.817
117.59	24735	-1.591
117.64	24738.9	-1.547
117.69	24742.9	-1.781
117.74	24746.8	-1.446
117.79	24750.7	-1.404
117.84	24754.7	-1.26
117.89	24758.6	-1.361
117.94	24762.5	-1.312
117.99	24766.4	-1.573
118.04	24770.4	-1.451
118.09	24774.3	-1.323
118.14	24778.2	-1.427
118.19	24782.2	-1.512
118.24	24786.1	-1.406
118.29	24790	-1.518
118.34	24794	-1.536
118.39	24797.9	-1.661
118.44	24801.8	-1.578
118.47	24804.2	-1.77
118.49	24805.8	-1.576
118.54	24809.7	-1.565
118.59	24813.6	-1.52
118.64	24817.6	-1.235
118.69	24821.5	-1.686
118.74	24825.4	-1.342
118.79	24829.4	-1.443
118.84	24833.3	-1.503
118.89	24837.2	-1.416
118.94	24841.2	-1.467
118.99	24845.1	-1.601
119.01	24846.7	-1.492
119.04	24849	-1.433
119.09	24853	-1.668
119.14	24856.9	-1.512
119.19	24860.8	-1.374
119.24	24864.8	-1.602
119.29	24868.7	-1.489
119.34	24872.6	-1.555
119.39	24876.6	-1.567
119.44	24880.5	-1.564
119.49	24884.4	-1.584
119.54	24888.4	-1.467
119.59	24892.3	-1.686
119.64	24896.2	-1.89
119.69	24900.2	-1.648
119.74	24904.1	-1.686
119.77	24906.4	-1.75
119.84	24912	-1.679
119.89	24915.9	-1.688
119.94	24919.8	-1.746
119.99	24923.8	-1.612
120.04	24927.7	-1.631
120.09	24931.6	-1.664
120.14	24935.6	-1.69
120.19	24939.5	-1.608
120.24	24943.4	-1.369
120.29	24947.3	-1.548
120.34	24951.3	-1.557
120.39	24955.2	-1.42
120.44	24959.1	-1.621
120.49	24963.1	-1.549
120.54	24967	-1.172
120.59	24970.9	-1.701
120.64	24974.9	-1.365
120.69	24978.8	-1.403
120.74	24982.7	-1.286
120.79	24986.7	-1.613
120.84	24990.6	-1.258
120.89	24994.5	-1.229
120.94	24998.5	-1.535
120.99	25002.4	-1.325
121.01	25004	-1.6
121.04	25006.3	-1.525
121.09	25010.3	-1.729
121.14	25014.2	-1.413
121.19	25018.1	-1.567
121.24	25022.1	-1.239
121.29	25026	-1.402
121.39	25033.9	-1.607
121.44	25037.8	-1.479
121.46	25039.4	-1.5
121.49	25041.7	-1.496
121.54	25045.7	-1.58
121.59	25049.6	-1.51
121.62	25052	-1.463
121.67	25055.9	-1.486
121.72	25059.8	-1.355
121.77	25063.8	-1.343
121.82	25067.7	-1.494
121.87	25071.6	-1.408
121.92	25075.6	-1.202
121.97	25079.5	-1.333
122.02	25083.4	-1.318
122.07	25087.3	-0.873
122.09	25088.9	-1.59
122.12	25091.3	-1.517
122.17	25095.2	-1.508
122.22	25099.1	-1.484
122.27	25103.1	-1.302
122.32	25107	-1.326
122.37	25110.9	-1.653
122.42	25114.9	-1.425
122.47	25118.8	-1.27
122.52	25122.7	-1.384
122.57	25126.7	-1.526
122.62	25130.6	-1.465
122.67	25134.5	-1.482
122.69	25136.1	-1.75
122.72	25138.5	-1.525
122.77	25142.4	-1.404
122.82	25146.3	-1.283
122.87	25150.3	-1.483
122.92	25154.2	-1.292
122.97	25158.1	-1.259
123.02	25162.1	-1.303
123.07	25166	-1.261
123.12	25169.9	-1.348
123.17	25173.9	-1.544
123.22	25177.8	-1.544
123.27	25181.7	-1.367
123.32	25185.7	-1.257
123.37	25189.6	-1.352
123.42	25193.5	-1.413
123.47	25197.5	-1.471
123.52	25201.4	-1.427
123.57	25205.3	-1.54
123.62	25209.3	-1.441
123.63	25210	-1.54
123.67	25213.2	-1.417
123.72	25217.1	-1.518
123.77	25221.1	-1.552
123.82	25225	-1.294
123.87	25228.9	-1.296
123.92	25232.9	-1.482
123.97	25236.8	-1.55
124.02	25240.7	-1.565
124.07	25244.7	-1.345
124.12	25248.6	-1.608
124.17	25252.5	-1.274
124.19	25254.1	-1.499
124.22	25256.5	-1.678
124.27	25260.4	-1.908
124.32	25264.3	-1.581
124.37	25268.2	-1.724
124.42	25272.2	-1.695
124.47	25276.1	-1.531
124.52	25280	-1.982
124.57	25284	-1.535
124.62	25287.9	-1.446
124.67	25291.8	-1.77
124.72	25295.8	-1.688
124.77	25299.7	-1.622
124.79	25301.3	-1.68
124.83	25304.4	-1.71
124.89	25309.1	-1.844
124.94	25313.1	-1.673
124.99	25317	-1.724
125.04	25320.9	-1.632
125.09	25324.9	-1.734
125.14	25328.8	-1.71
125.19	25332.7	-1.54
125.24	25336.7	-1.511
125.29	25340.6	-1.696
125.34	25344.5	-1.865
125.39	25348.5	-1.473
125.44	25352.4	-1.786
125.49	25356.3	-1.781
125.54	25360.3	-1.763
125.59	25364.2	-1.44
125.64	25368.1	-1.603
125.69	25372.1	-1.436
125.74	25376	-1.487
125.8	25380.7	-1.362
125.84	25383.9	-1.493
125.89	25387.8	-1.73
125.99	25395.7	-1.661
126.44	25431.1	-1.459
126.49	25435	-1.552
126.54	25438.9	-1.365
126.59	25442.9	-1.436
126.64	25446.8	-1.359
126.69	25450.7	-1.403
126.74	25454.7	-1.239
126.79	25458.6	-1.84
126.84	25462.5	-1.405
126.89	25466.5	-1.428
126.94	25470.4	-1.944
126.99	25474.3	-1.811
127.04	25478.3	-1.207
127.09	25482.2	-1.581
127.14	25486.1	-1.69
127.19	25490	-1.589
127.24	25494	-1.578
127.28	25497.1	-1.261
127.29	25497.9	-1.75
127.34	25501.8	-1.783
127.39	25505.8	-1.545
127.44	25509.7	-1.326
127.49	25513.6	-1.309
127.54	25517.6	-1.3
127.59	25521.5	-1.456
127.64	25525.4	-1.527
127.69	25529.4	-1.396
127.74	25533.3	-1.282
127.79	25537.2	-1.61
127.81	25538.8	-1.46
127.84	25541.2	-1.813
127.89	25545.1	-1.686
127.94	25549	-1.622
127.99	25553	-1.625
128.04	25556.9	-1.642
128.09	25560.8	-1.524
128.14	25564.8	-1.367
128.19	25568.7	-1.593
128.24	25572.6	-1.459
128.29	25576.6	-1.59
128.31	25578.1	-1.807
128.34	25580.5	-1.636
128.39	25584.4	-1.461
128.44	25588.4	-1.806
128.49	25592.3	-1.348
128.54	25596.2	-1.727
128.59	25600.2	-1.554
128.64	25604.1	-1.664
128.69	25608	-1.566
128.72	25610.4	-1.585
128.74	25612	-1.665
128.79	25615.9	-1.505
128.84	25619.8	-1.646
128.89	25623.8	-1.65
128.94	25627.7	-1.709
128.99	25631.6	-1.641
129.04	25635.6	-1.827
129.09	25639.5	-1.725
129.14	25643.4	-1.554
129.19	25647.4	-1.868
129.24	25651.3	-1.589
129.29	25655.2	-1.684
129.34	25659.2	-1.286
129.39	25663.1	-1.469
129.44	25667	-1.669
129.47	25669.4	-1.83
129.49	25670.9	-1.747
129.54	25674.9	-1.7
129.59	25678.8	-1.829
129.64	25682.7	-1.926
129.69	25686.7	-1.686
129.74	25690.6	-1.749
129.79	25694.5	-1.602
129.84	25698.5	-1.671
129.89	25702.4	-1.443
129.94	25706.3	-1.612
129.97	25708.7	-1.82
129.98	25709.5	-1.68
129.99	25710.3	-1.862
130.04	25714.2	-1.889
130.09	25718.1	-1.833
130.14	25722.1	-1.706
130.19	25726	-1.686
130.21	25727.6	-1.518
130.24	25729.9	-1.512
130.29	25733.9	-1.791
130.34	25737.8	-1.991
130.39	25741.7	-1.734
130.44	25745.7	-1.83
130.47	25748	-2.336
130.49	25749.6	-1.877
130.54	25753.5	-1.712
130.59	25757.5	-1.627
130.64	25761.4	-1.955
130.69	25765.3	-1.552
130.72	25767.7	-1.695
130.74	25769.3	-1.989
130.79	25773.2	-1.665
130.84	25777.1	-1.765
130.89	25781.1	-1.975
130.94	25785	-1.851
130.97	25787.4	-2.054
130.99	25788.9	-1.884
131.04	25792.9	-1.77
131.09	25796.8	-1.597
131.14	25800.7	-1.335
131.19	25804.7	-1.339
131.22	25807	-1.77
131.24	25808.6	-1.397
131.29	25812.5	-1.523
